data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-08-29,Red Bull Bragantino,1,1,Atlético-MG,0.33,0.67,5,26,0,8,0.5,0.51,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204844
2021-08-29,Atlético-GO,0,0,Internacional,0.52,0.48,8,7,3,3,0.55,0.45,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204838
2021-08-29,Juventude,1,1,São Paulo,0.39,0.61,9,7,2,4,0.52,0.48,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204842
2021-08-29,América-MG,2,0,Ceará,0.38,0.62,19,6,4,2,0.51,0.49,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204841
2021-08-28,Palmeiras,2,1,Athletico Paranaense,0.49,0.51,16,11,3,4,0.55,0.45,Allianz Parque,Brasileirão Série A,/pt-br/match/2204843
2021-08-28,Grêmio,0,1,Corinthians,0.44,0.56,11,6,2,1,0.43,0.57,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204846
2021-08-28,Santos,0,4,Flamengo,0.49,0.51,11,18,2,11,0.44,0.57,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204845
2021-08-28,Sport Recife,0,0,Chapecoense,0.55,0.45,20,15,7,2,0.55,0.45,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204837
2021-08-23,América-MG,0,2,Red Bull Bragantino,0.51,0.49,14,10,3,3,0.39,0.61,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204829
2021-08-23,Fluminense,1,1,Atlético-MG,0.34,0.66,9,19,3,7,0.5,0.51,São Januario,Brasileirão Série A,/pt-br/match/2204831
2021-08-22,Sport Recife,0,1,São Paulo,0.48,0.52,15,12,4,3,0.39,0.61,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204836
2021-08-22,Santos,2,2,Internacional,0.52,0.48,10,13,4,4,0.57,0.43,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204835
2021-08-22,Athletico Paranaense,0,1,Corinthians,0.44,0.56,16,8,4,2,0.49,0.51,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204828
2021-08-22,Ceará,1,1,Flamengo,0.37,0.63,12,18,5,5,0.45,0.55,Castelão,Brasileirão Série A,/pt-br/match/2204830
2021-08-22,Palmeiras,0,2,Cuiabá,0.66,0.34,31,9,7,4,0.57,0.43,Allianz Parque,Brasileirão Série A,/pt-br/match/2204834
2021-08-21,Juventude,1,1,Fortaleza,0.56,0.44,19,16,4,4,0.49,0.51,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204833
2021-08-21,Grêmio,2,0,Bahia,0.53,0.47,15,9,6,3,0.56,0.44,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204832
2021-08-21,Atlético-GO,1,1,Chapecoense,0.7,0.3,16,8,2,2,0.58,0.42,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204827
2021-08-16,Chapecoense,1,1,América-MG,0.41,0.59,10,18,5,6,0.53,0.47,Arena Condá,Brasileirão Série A,/pt-br/match/2204819
2021-08-15,Internacional,4,2,Fluminense,0.35,0.65,17,10,7,5,0.49,0.52,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204824
2021-08-15,Bahia,1,2,Atlético-GO,0.54,0.46,16,12,8,3,0.52,0.49,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204818
2021-08-15,Cuiabá,1,0,Athletico Paranaense,0.39,0.61,12,9,2,1,0.51,0.49,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204821
2021-08-15,Fortaleza,1,1,Santos,0.45,0.55,12,8,2,2,0.45,0.55,Castelão,Brasileirão Série A,/pt-br/match/2204823
2021-08-15,Corinthians,3,1,Ceará,0.61,0.39,7,15,3,6,0.5,0.5,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204820
2021-08-15,Flamengo,2,0,Sport Recife,0.65,0.35,17,4,9,2,0.48,0.52,Estádio Raulino de Oliveira,Brasileirão Série A,/pt-br/match/2204822
2021-08-14,São Paulo,2,1,Grêmio,0.64,0.36,12,9,6,3,0.47,0.53,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204826
2021-08-14,Atlético-MG,2,0,Palmeiras,0.67,0.33,15,1,6,1,0.58,0.42,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204817
2021-08-14,Red Bull Bragantino,1,2,Juventude,0.54,0.46,5,13,1,6,0.5,0.5,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204825
2021-09-08,Grêmio,2,1,Chapecoense,0.54,0.46,20,6,3,2,0.49,0.51,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204812
2021-08-08,Flamengo,0,4,Internacional,0.64,0.36,11,9,7,5,0.55,0.45,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204811
2021-08-08,Ceará,0,0,Atlético-GO,0.41,0.59,19,7,5,2,0.5,0.5,Castelão,Brasileirão Série A,/pt-br/match/2204815
2021-08-08,Juventude,1,2,Atlético-MG,0.34,0.66,6,20,1,4,0.5,0.5,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204813
2021-08-08,América-MG,1,0,Fluminense,0.44,0.56,15,7,7,2,0.47,0.53,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204807
2021-08-08,Santos,0,0,Corinthians,0.57,0.43,11,9,5,5,0.43,0.57,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204809
2021-07-08,Cuiabá,1,1,Bahia,0.4,0.6,11,9,2,4,0.53,0.47,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204810
2021-07-08,Palmeiras,2,3,Fortaleza,0.62,0.38,20,15,2,6,0.43,0.57,Allianz Parque,Brasileirão Série A,/pt-br/match/2204814
2021-07-08,Athletico Paranaense,1,2,São Paulo,0.52,0.48,15,11,6,4,0.5,0.5,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204808
